KEGG,ko05340,ko00564,ko00680,ko00562,ko03030,ko00561,ko00440,ko00250,ko00740,ko04940,ko00010,ko00195,ko00760,ko00920,ko00311,ko00310,ko04146,ko00600,ko04141,ko04142,ko00604,ko04260,ko05142,ko04973,ko00510,ko05110,ko04974,ko04976,ko00450,ko01051,ko00524,ko00300,ko05222,ko05416,ko00260,ko00190,ko03440,ko00750,ko00950,ko00592,ko00591,ko00590,ko00061,ko03070,ko00253,ko03060,ko00380,ko00500,ko05120,ko04964,ko04960,ko00625,ko00624,ko00627,ko00626,ko00621,ko00620,ko00623,ko00622,ko00270,ko00940,ko00941,ko01053,ko00943,ko00100,ko00945,ko05016,ko00071,ko00072,ko05219,ko05215,ko05211,ko05210,ko01055,ko04910,ko00531,ko00360,ko00633,ko00630,ko00363,ko00364,ko04115,ko00121,ko04914,ko00430,ko02010,ko00130,ko00361,ko00040,ko00730,ko00362,ko01040,ko00603,ko03018,ko00281,ko00280,ko03013,ko04626,ko05200,ko00312,ko05020,ko05143,ko00523,ko00520,ko00521,ko05146,ko05145,ko00052,ko00053,ko00051,ko00401,ko00400,ko04020,ko00350,ko00480,ko00643,ko00642,ko00640,ko00720,ko00960,ko02020,ko00120,ko03008,ko00290,ko03410,ko05010,ko05012,ko00980,ko00410,ko00983,ko05150,ko00791,ko00790,ko00020,ko00710,ko00196,ko02060,ko00340,ko00785,ko00550,ko00650,ko02030,ko03320,ko04612,ko04621,ko04622,ko00910,ko04971,ko00460,ko04970,ko00830,ko00780,ko00511,ko00970,ko00030,ko04972,ko00232,ko00230,ko04122,ko00540,ko05014,ko00660,ko03020,ko00982,ko03010,ko00140,ko05100,ko00860,ko00330,ko00908,ko04930,ko03430,ko00906,ko00900,ko00903,ko00471,ko00472,ko00473,ko05111,ko04210,ko00240,ko04011,ko04113,ko04070,ko03420,ko00770,ko02040,ko00670,ko04920,ko00930,ko04112,ko03450,ko00565,ko05322,ko03050,ko04614,ko00513,ko04330,ko05220,ko05410,ko00944,ko04310,ko04650,ko04662,ko04370,ko04660,ko04360,ko04114,ko04010,ko04720,ko00902,ko04916,ko00965,ko05131,ko04144,ko00062,ko00901,ko00909,ko00905,ko04666,ko04640,ko04912
S8.4.Gut,14007.5,110302.94,147043.18,25747.52,104327.96,66866.22,12596.34,163718.66,35518.04,12119.34,202034.48,52151.72,89105.08,72606.74,2707,29711.06,42309.56,10815.5,5326.18,7436.5,7436.5,13301.36,7481,7165.84,57,3287,4.34,4.34,78307.4,7319.18,6662.5,107061.94,585.88,585.88,150159.14,238580.3,148987.82,45053.54,9789.84,9048.52,2239,14138.18,89941.78,165332.2,25633.36,109932.94,51074.9,141932.38,15399.86,4654.02,4.34,18364.36,19,33002.36,27814.7,7989.02,198152.22,37615.2,6248.34,149536.82,9200.84,94,17249.34,3107,0,113,23675.08,57768.44,10556.2,4374,4936.84,4543.84,585.88,6478.84,12779.68,7436.5,42749.26,10325.86,86797.52,5417,208.84,585.88,259,4936.84,31334.2,602313.78,80237.94,391.84,44345.86,57438.56,30908.44,45642.2,11260,96647.1,31330.9,83888.84,12806.84,39217.7,10066.56,3054,114.84,7664,25625.54,203795.16,44845.22,19,585.88,82977.2,28473.68,86966.72,22181.86,132020.98,19,53845.56,89346.94,13477.18,12829.7,117143.02,157476.72,22272.52,458785.56,259,15214.52,123812.8,64665.24,25288.58,13882.9,21523.68,39740.58,51981.86,12346,475.02,69741.24,133678.32,97626.6,247,133955.36,78796.58,13790.18,122732.46,140944.02,181636.94,23660.38,4936.84,5202.84,38,185049.82,4.34,37288.68,4.34,4658.5,27039.7,17630.5,168503,122411.1,4.34,0,406060.9,83794.92,86302.96,5211.22,47027.22,74772.6,21725.68,342056.7,3062,19,113751.74,197582.36,6384.84,11167.84,127240.3,380.34,69948.26,13154.02,23898.2,1553.34,22048.52,66188.4,3692.88,315674.62,7876.18,261.68,17624.86,46913.22,86708.1,191489.24,85176.42,12678.52,9026.68,76853.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S8.5.Gut,13825.5,108900.72,143767.09,25335.01,116469.23,70930.86,13047.17,167884.58,30465.52,14345.67,232940.74,67776.36,93395.54,68758.87,4118,25020.03,38592.03,10461,4516.34,6431,6423,10516.68,6353.5,6693.67,472.5,2868.5,8.67,8.67,79153.2,7464.34,7548.5,115254.22,70.19,70.19,156038.57,222693.65,164157.91,45300.02,7599.17,7012.01,3626,14093.34,100331.89,150531.6,29511.68,119172.22,45326.2,169261.19,14639.18,3863.01,8.67,18986.68,157.5,34092.68,24822.35,10836.51,212687.11,32407.85,7368.17,163498.91,7182.17,37.5,15208.67,2864.5,9,190.5,20802.04,47567.22,7850.85,3489,3927.17,3769.67,70.19,7402.67,15065.84,6423,39499.88,7295.18,78115.76,6645.5,331.67,70.19,134,3927.17,32983.35,618622.14,65936.72,524.67,53390.18,57067.03,28392.22,43323.85,10124.5,96956.05,24504.2,72541.42,14813.17,35516.35,7767.03,3962.5,17.17,6354.5,29312.52,244810.58,51429.36,153,70.19,100169.35,34229.34,112791.36,21625.18,147202.74,153,49880.53,86595.22,13490.84,10092.85,112263.76,149140.11,20181.01,412174.53,134,14527.51,141809.4,69777.87,21512.54,10578.2,18045.84,32737.04,54339.18,22833.5,498.51,71167.87,133513.91,103138.55,2106,171759.18,85412.04,13970.84,148354.73,138396.76,143195.47,21865.69,3927.17,3928.17,67,171929.66,8.67,36008.34,8.67,3897,25588.35,16346.5,196429.75,144602.05,8.67,4.5,437574.7,76214.21,67298.23,3579.36,50491.36,78388.55,18204.34,391248.35,2939,157.5,98373.62,204533.93,7369.67,11131.17,139127.9,1148.17,78457.38,10611.51,25996.35,3276.67,28371.51,57973.2,2939.19,351611.81,10654.84,663.84,18578.68,52166.36,94887.55,142218.12,93023.21,10673.51,6995.34,84557.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S8.2.Gut,17289.25,132540.22,171467.59,31054.76,122604.23,80670.61,15949.92,192464.33,41607.52,14541.17,241506.49,61010.36,105877.04,86023.12,2791.25,34668.03,50915.53,14430.25,5917.34,9703.5,9703.5,16127.93,9602.5,9423.17,73,4613.75,7.67,7.67,93937.45,8010.09,7497.75,127129.97,133.69,133.69,180611.32,287032.9,176219.16,54544.02,11244.17,10905.51,2102,17372.59,104826.89,194734.6,30125.68,130154.47,61436.7,170518.19,18184.93,5510.76,7.67,20963.93,20,40355.68,33596.85,9400.76,235820.86,45328.35,7473.42,176936.66,10988.17,69,22851.17,4320.75,0,89,28143.79,67886.97,11844.85,5366.75,5716.42,5482.42,133.69,7561.42,15027.84,9703.5,49925.63,11595.68,98828.26,6304.5,109.67,133.69,136,5716.42,38281.1,730662.89,96958.22,226.67,54887.68,66545.78,35828.22,54443.6,14763.25,114668.55,37443.95,98530.42,14970.17,46468.6,11332.53,2843.25,77.67,9638.5,29813.27,242408.33,52229.86,20,133.69,100937.6,34079.84,99894.61,25817.68,155325.24,20,64741.53,107614.72,16854.34,15374.6,137729.01,185698.86,26936.51,557952.53,136,18173.26,147423.4,76195.62,29562.04,16253.95,26406.34,46069.79,61419.93,14538.75,293.01,83145.12,160824.91,115505.8,260,157433.43,91510.29,17052.59,145088.98,165978.76,219289.22,28502.44,5716.42,5871.42,36,223584.66,7.67,45627.09,7.67,5691.75,31581.1,23588.75,199254.5,146600.55,7.67,0,480696.95,100038.71,102999.23,5593.86,55401.86,85987.8,26462.34,401384.6,4196.75,20,130993.62,235122.18,7492.42,13071.17,148970.15,253.67,81425.63,15608.26,28049.35,1715.67,25573.51,82135.45,4441.44,373721.56,9279.34,182.34,20586.93,53508.86,100850.05,224047.87,101572.21,15608.26,10772.84,90681.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S8.3.Gut,18899.98,146341.42,186875.44,33138.62,145016.35,93333.18,17887.64,217143.64,43221.99,17605.48,287953.55,78930.56,120576.64,92168.75,3996.75,35572.9,53899.13,15683.48,6145.73,9813.32,9792.32,15599.12,9722.82,9844.98,337.5,4567.66,5.66,5.66,104834.16,9168.98,9183.16,147325.1,67.12,67.12,203276.41,304556.83,206467.02,60603.81,11074.48,10396.8,3745,19296.3,123924.96,206266.37,36301.28,151481.6,63792.45,207427.3,19863.12,5440.14,5.66,24279.78,112.5,45375.01,34910.92,12391.14,270425.54,45855.08,9071.32,207143.75,10358.82,25.5,23741.87,4548.66,3,136.5,29300.22,68366.89,11208.62,5328.82,5781.32,5166.16,67.12,9093.32,18449.64,9792.32,53097.93,10895.28,103776.77,8405.41,270.66,67.12,117,5781.32,43198.51,815168.53,95410.94,373.66,66025.28,73673.63,38436.86,58227.74,15305.48,127260.44,36276.72,101363.47,18053.14,49224.83,11014.6,3888.25,34.16,9724.82,36029.35,298955.01,62956.15,111,67.12,123154.29,42181.71,130598.34,28493.28,183808.04,111,68358.11,116049.78,18178.89,15117.78,149713.57,199847.17,28677.03,583217.7,117,19559.46,177020.47,88717.02,30031.97,15660.58,26147.37,46844.43,70116.06,24118.66,354.48,93093.34,176683.18,131237.62,1482,199885.84,107427,18742.8,179064.58,182409.78,214789.83,30452.42,5781.32,5783.32,65.5,239354.4,5.66,49229.03,5.66,5596.32,34037.6,24756.3,242804.48,177166.78,5.66,1.5,556759.17,104983.05,99197.33,5283.19,64148.38,100529.23,26261.87,483011.85,4610.16,112.5,138946.03,262785.81,9069.32,14398.98,174469.4,836.16,97218.16,15756.96,32666.44,3223.66,33213.21,83255.16,4617.28,442535.84,12288.23,519.82,23597.12,64192.15,118746.46,215021.37,118237.73,15981.46,10359.64,106895.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S9.80.Gut,14551.12,108833.22,147673.38,25295,87931.76,67850.92,10197.24,153852.12,39231.82,10028.98,175220.64,43088.84,84711.06,72431.58,2845.82,31333.02,44405,10550.48,5490.98,9088.82,9045.82,15166,8591.48,8334.28,53,8783,20,,79100.66,6095.82,5133.66,97373.82,459,459,142678.9,242854.76,130443.1,45637.12,10318.42,9865.42,488.14,14367.26,80603.9,187016.88,21654.92,98590.12,52035.12,122382.24,15418.46,4824.78,,18557.94,56.28,30714.12,30965.6,5974.3,182073.98,40169.12,5468.66,136822.42,9960.84,92,20875.98,4000,8,93,25433.12,63036.68,10750.36,4650.14,5370.14,4735.48,459,5489.98,10717.26,9045.82,43683.5,14494.14,90597.58,2736.14,900.14,459,120,5370.14,30152.72,576449.6,87540.04,962.98,35243.96,53161.88,28676.78,44744.22,13416.82,92178.34,33245.7,84002.04,12143.96,38043.98,10564.62,2944.14,431.14,8681.48,21684.06,181193.08,37926.48,44,459,68153.86,23741.56,65261,21114.68,115565.82,1,57042.46,92000.34,11888.12,14129.78,113940.2,153779.86,22151.98,503551.5,121,15019.26,108981.72,58231.38,26156.96,15625,26050.82,46979.26,49657.28,2165.88,270.14,65521.2,129189.08,88842.3,13,102145.84,71492.64,14165.6,100427.34,140003.86,222984.7,24390.6,5370.14,7656.14,3,192511.02,,36275.2,,7036.12,26402.68,18922.2,145439.3,100298.26,,0,377948.72,84989.74,98802.28,5683.28,45707.84,67290.46,26124.82,292771.54,1786,7,114908.06,189567.08,5378.98,10590.12,109348.34,492,58127.64,14386.92,21079.72,393,15969.92,71571.86,4459.14,279486.02,5405.46,1149,16329.58,39101.02,78835.82,226506.9,77566.06,14168.28,9507.9,69686.92,18,42.14,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
S9.79.Gut,24694.26,317690.57,475857.94,84050.43,207165.97,246377.8,38931.76,354747.35,102727.11,14689.34,479535.61,104608.36,204894.89,183605.38,1620,77461.52,90397.78,22802.76,13261.42,3862.84,3717.84,23253.76,11756.84,19883.84,328,2017.92,70,,207822.97,24050.92,13606.42,208769.48,37,37,373837.6,513996.81,318886.33,109566.45,24379.34,29843.84,2524.5,41964.26,158191.88,263198.59,50442.68,218012.98,112115.95,386730.41,43088.76,28027.92,,38860.93,8564,59007.94,49372.69,63357.42,496053.87,104385.36,46351.42,371946.09,22989.17,409,58481.27,1150.92,5,488,53928.1,146284.71,49841.34,11303.59,12390.42,10134.25,37,12915.42,33346.34,3747.84,160637.03,67772.18,383156.48,20556.42,17102,37,500,12390.42,51605.52,1984499.22,192922.06,17225,250885.18,138448.53,127622.35,74840.78,14785.76,186621.23,48630.44,156703.97,33913.51,74048.36,22561.67,2127,8523,12191.84,33471.68,536109.29,80680.44,79,37,228065.88,133263.93,425513.97,47181.18,267587.24,79,115800.29,215551.39,5589.09,40039.76,316935.58,387783.43,62830.6,1603510.37,500,25242.26,254027.49,160218.12,55733.1,23290.76,44803.6,101694.37,111362.29,3337.92,25821,140777.46,321973.75,231634.14,1053,454292.65,154585.46,31661.26,280406.98,372308.6,389602.49,31452.6,12390.42,13225.42,8413,539410.14,,72341.52,,12010.59,67468.6,43128.6,335466.01,328981.56,,1,905518.59,200311.14,267661.48,19198.92,129481.7,149885.71,45308.6,684270.85,741.92,16901,410734.99,490551.79,12537.42,24064.34,283185.15,1004,156230.29,24661.26,65955.18,41,53974.76,84808.47,1223.92,656102.27,20776.42,450,36123.76,109539.94,216031.22,673266.07,168806.8,16536.26,21412.84,142320.46,16,44,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
S9.77.Gut,29840.9,420163.9,628127.71,111753.62,246996.36,333437.7,53686.57,433752.44,128555.7,15728.99,611555.3,118556.64,257544.24,239560.59,1140.84,98957.8,115170.7,29460.58,14990.08,2648.66,2437.66,29199.73,15103.99,28159.32,135.5,2909.41,95,,269387.67,28671.43,15208.42,249853.69,51,51,480283.37,659643.46,388689.32,142580.03,29088.32,41132.32,759.5,55909.4,180472.29,284677.77,58612.32,262492.84,142580.03,508194.81,56284.07,40170.91,,44923.9,13025.5,72863.05,60026.96,92612.92,636227.3,139379.96,66641.92,469882.23,29337.19,128.5,83180.71,1005.41,9,145.5,70899.72,185360.26,67866,14086.57,14630.41,14152.42,51,14799.58,42224.49,2497.66,219452.78,95597.14,530775.5,26849.41,26047.5,51,237,14630.41,59980.47,2654559.26,253947.39,26126.17,361434.86,171462.47,176327.82,88992.03,17033.25,220957.41,59245.37,190488.02,43172.82,87857.46,28833.83,1254,13000,15237.99,32845.82,684066.16,90616.09,17,51,296452.19,189953.11,586196.7,57821.81,331019.22,17,144885.68,283232.24,2498.24,55295.23,408483.39,495889.86,83402.55,2218566.78,237,29822.9,316900.81,199673.72,71054.89,29250.73,58376.22,130110.26,132727.86,1060.1,39121.5,173688.34,422985.9,286478.04,338,610456.02,189076.85,42563.57,354776.53,481417.88,497513.19,32700.89,14630.41,15712.41,12974,727884.78,,88431,,15137.74,85136.22,58195.26,396562.99,421033.84,,4.5,1113986.86,255559.15,361668.46,27130.91,169145.11,164996.79,58531.72,806086.15,61.91,25969.5,528950.29,636424.02,14717.58,29002.99,344574.01,283.5,186697.72,29724.73,84305.65,51,69912.91,94665.82,1075.91,787416.19,27628.25,170.5,43569.24,130145.57,271235.93,888048.86,204461.7,16952.23,28158.49,163803.7,0,15,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
S9.78.Gut,47345.97,704990.94,1054065.59,187251.38,405392.9,563551,93101.94,710363.04,213303.72,24065.82,1014167.52,193522.56,424711.72,398423.9,105.49,164866.24,188274.06,47932.65,24114.82,418.49,317.49,46548,23342.82,46543.3,120,56,32,,447399.51,47579.32,24175.16,404629.1,4,4,799840.17,1082133.08,642020.63,234863.03,47363.45,69750.45,724.15,94226.12,288068.05,428757.5,95903.28,428087.75,234902.03,848503.93,94373.64,69743.3,,71949.46,23217.3,117623.03,94066.79,163083.31,1059684.04,233470.03,116705.16,780345.41,47048.33,67,139594.05,52,2,97,116913.97,305834.63,116858.68,23315.15,23959.15,23288.82,4,24036.82,71093.12,349.49,373333.29,162773.15,909376.56,47172.15,46442.15,4,40,23959.15,95715.76,4506512.45,419669.71,46472.82,631185.42,284418.98,304143.42,141515.99,24217.32,357059.62,93276.75,306697.91,70750.64,141990.88,47251.97,33.15,23204.15,23350.82,49250.43,1135760.24,144213.37,30,4,496426.55,326838.92,1006853.34,94574.57,544092.9,30,234891.16,469031.02,303.97,93076.3,681623.3,823802.92,140414.05,3752616.62,40,47339.12,520593.94,332404.81,117036.64,46552,93412.72,211236.35,213821.19,368.69,69747.15,283052.81,702898.45,473207.92,416,1029306.57,307332.27,70107.79,591346.34,797462.58,794618.27,48764.79,23959.15,23967.15,23193,1216792.31,,142804.24,,23402.97,141251.57,94443.01,647020.81,708983.11,,1,1827217.94,423192.23,605859.82,46509.3,282054.96,266985.36,93451.72,1317153.25,53,46396,899407.72,1056044.4,23986.82,47285.97,570432.51,287,310264.7,47388.45,141721.76,4,117791.28,141119.91,64.15,1287402.58,47198.64,137,71314.61,215100.9,449540.67,1490988.25,332616.15,24656.3,46592.27,264400.17,0,7.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
S9.76.Gut,31659.48,439895.35,660205.95,116248.22,265322,340715.41,56747.45,464482.38,135993.18,17650.24,641504.39,125522.56,274016.13,256603.22,1516.23,106390.1,123130.51,29341.8,15831.07,2730.57,2646.57,32689.51,15915.74,28184.98,51,645.17,74,,283096.33,29518.79,15849.73,265483.59,51,51,510052.91,705569.03,415549.67,149745.65,31208.55,44109.05,496.07,58315.05,195184.23,312793.88,62771.28,281106.94,153917.15,522647.02,58899.81,42117.81,,47178.88,13391.14,77410.64,64533.06,95594.3,673432.78,149909.81,68900.73,493489.48,31118.78,88,84417.01,605.17,0,90,75693.32,199264.44,72284.66,15364.91,15677.74,15389.9,51,15766.07,44547.38,2662.57,231766.6,97834.25,559420.85,27701.24,26748.57,51,56,15677.74,65079.36,2773491.37,275472.31,26787.9,373216.22,184207.91,185276.95,99022.46,16996.63,238550.41,67580.04,210657.57,44641.81,96074.74,31118.64,1499.57,13409.07,15977.74,36304.85,706349.35,96667.24,34,51,305210.41,193033.52,597427.44,62361.93,354469,2,155563.5,301154.27,4861.31,58166.65,433738.58,532175.67,87957.84,2312077.33,88,33053.05,335855.02,211433.14,78116.65,32740.51,62469.17,137515.5,140320.05,712.48,40106.57,186741.54,452074.74,304055.15,26,620139.43,202858.74,44912.88,375285.17,508232.62,526016,36270.22,15677.74,15725.74,13312,755833.03,,94524.54,,15469.31,91299.6,58311.78,419685.89,441916.27,,0,1176374.87,274995.9,385619.53,28844.31,177886.6,177154.77,62501.17,859821.92,545.17,26626,554350.48,677570.13,15684.07,31081.31,368060.45,162,200252.76,31852.72,89203.02,51,73505.61,106514.63,630.74,833711.32,29039.97,62,46811.28,138196.05,285989.89,945070.52,217522.98,18506.65,30774.95,175269.68,64,38.57,0,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,
S10.54.Gut,9142.28,94076.61,131674.33,25652.49,104548.55,73554.79,7425.36,150609.45,40120.31,8028.23,178325.78,57151.84,73489.15,45370.95,800.76,24404.88,26097.14,10817.9,9332.24,4257.22,3232.84,3648.66,1636.72,3174.79,531.11,571.16,373.84,1.67,62357.92,15298.97,9750.23,99797.62,92.19,92.19,116619.76,157079.48,145081.45,29281.73,12176.74,3319.87,7536.43,11227.9,88134.25,104414.17,27498.42,100392.96,34110.96,139155.7,14424.23,2170.71,1.67,21600.27,335.52,18976.79,12993.42,7521.29,164422.88,16178.66,6980.85,144698.34,8757,625.17,4485.96,488.16,110.01,671.5,12271.61,44201.34,10763.83,1259.22,6712.4,1815.57,92.19,7460.44,13218.23,3601.84,30605.69,8818.96,63467.02,8131.56,532.19,92.19,2371.5,6712.4,23575.48,524219.64,29141.61,711.53,45005.48,56331.07,27327.99,25085.14,7696.13,83766.78,8413.33,54419.89,12876.92,33093.22,8624.83,3871.1,224.57,3358.05,26108.44,214659.98,48488.82,99.5,92.19,90932.46,31657.54,117124.98,20186.5,110445.09,55,34088.91,50762.26,6026.1,4725.39,98822.26,120613.36,15552.4,271518.37,2373.5,9107.22,97111.12,67718.89,12684.97,3739.18,6831.26,29134.1,52176.73,8702.97,1695.22,52909.01,73047.42,97006.14,656,148340.61,67559.57,4936.36,105558.72,107163.32,111349.28,18078.93,6712.4,8459.4,80.4,126135.16,1.67,31262.97,1.67,1890.03,22079.23,13427.83,177476.27,129088.5,1.67,9,389576.39,55187.06,38145.33,1820.82,33954.55,106601.59,8615.26,367081.49,629.88,76,155323.64,137474.95,6981.23,11624.79,133833.71,1133.01,76583.44,9183.04,23093.72,119.67,19288.58,28251.88,670.78,324059.83,5784.63,466.68,15847.94,61977.52,87403.77,123146.01,75156.86,9871.82,3072.34,80564.49,102.5,91.43,2,7,6.67,12,4.67,4.67,4.67,5,4.67,,,,,,,,,,,,,,,,,,,,
S10.55.Gut,11573.7,113048.08,158075.65,36589.55,126649.95,74252.06,8296.12,175508.54,47169.41,10732.65,210024.97,64079.48,92606.73,63255.55,1200.95,33208.66,35031.24,12418.05,8735.23,5233.65,4628.64,8494.75,1827.31,1781.78,312.54,508.25,222.17,0,79617.55,15910.92,7733.9,116738.43,43,43,167273.02,196910.69,179751.16,37777.03,11391.93,8394.09,5127.28,14939.68,106334.11,146821.49,33445.74,120102.82,49007.56,140792.61,16295.92,3532.34,0,22318.69,381.73,21972.73,16908.1,10560.7,209472.65,29980.97,8330.06,166070,12945.5,206.17,6193.37,452.25,126.01,219.5,17207.06,59500.35,14905.53,2941.39,7493.06,3618.06,43,8186.23,17274.59,4827.64,40965.41,9551.22,98952.48,5684.89,335.48,43,891.5,7493.06,34864.88,701190.85,54929.08,874.65,61011.52,62777.15,38127.38,36038.22,10531.53,102875.66,17100.79,72104.6,12474.98,35981.66,11154.79,1099.28,340.64,2128.64,28510.19,244085.16,55149.41,138.5,43,111498.72,23554.63,115390.28,22826.47,131583,53,46200.29,73871.88,9473.31,7178.37,118646.26,162638.9,16569.55,360466.16,897.5,11943.48,120317.07,83968.58,22155.7,8537.75,13549.21,30462.31,58657.61,4475.75,4535.36,66204.27,113731.89,121826.98,65,129995.07,74136,8349.85,125200.27,133079.63,138423.21,26008.32,7493.06,7810.06,26.22,158961.46,0,41961.13,0,3844.37,25793.94,17833.57,206903.95,162831.29,0,4.5,477483.59,77023.03,56055.45,3611.53,44145.51,121472.65,13924.21,431952.13,494.43,24.5,161366.16,174801.22,8073.06,11622.95,154527.19,453.84,93819.02,11747.85,27565.51,136.5,18838.48,59329.79,649.53,379459.07,10240.03,270.84,21579.6,66156.41,100217.14,172287.52,92738.41,14642.17,6721.38,94129.49,298.5,224.28,4,62,0.67,0,0.67,0.67,0.67,26,0.67,,,,,,,,,,,,,,,,,,,,
S10.52.Gut,13183.52,105806.68,152002.85,21360.36,102809.94,74791.53,9361.26,157772.88,43597.84,9356.03,184254.01,53804.32,82005.46,57408.39,630.48,28277.54,34823.94,13064.96,7851.78,7047.02,6247.02,8130.06,5191.54,5763.79,313.53,3014.58,299.16,2.33,74286.17,12367.55,9266.25,106651.54,79.31,79.31,133222.98,186647.19,146626.4,39405.54,12050.52,5858.51,5734.35,13330.58,87492.35,175136,27496.66,103669.7,41139.09,140919.55,15946.09,4242.99,2.33,22697.54,163.06,28132.71,24839.63,6875.01,182423.01,27234.54,6671.77,151313.57,7964.57,1340.33,15265.31,2441.58,64.99,1349,16624.19,55135.37,10490.49,4749.31,6620.64,1040.96,79.31,8012.96,11946.51,6523.02,38205.44,15933.86,75510.66,7951.98,204.27,79.31,1189.5,6620.64,27196.9,593277.42,53485.09,390.89,39828.9,56855.92,29514.5,33696.82,11057.95,93155.81,19085.35,65354.64,14749.63,35976.28,7741.24,1750.18,134.73,5841.21,27858.68,217619.15,48628.68,55,79.31,86954.42,24153.45,106253.51,20580.58,112336.55,24,47299.66,67017.87,7889.43,10857.19,115522.94,139842.51,20177.14,384219.6,1189.5,12094.36,107219.31,68039.69,18044.79,8207.04,14184.14,41151.39,58944.48,5584.13,787,60779.01,100642.93,98288.26,117,129512.24,67072.77,9149.72,112520.96,132262.88,154019.35,23472.49,6620.64,7545.64,11.76,167409.2,2.33,32634.13,2.33,5376.04,27752.75,19085.35,179708,123235.54,2.33,6,414405.52,72771.06,76547.15,3171.02,44848.07,92574.7,14871.14,360051.98,2222.24,7,154464.89,162252.44,6820.29,10777.27,130293.64,1474.99,75924.35,13164.08,25531.54,76.33,19010.76,47868.21,2580.24,331655.3,6380.17,258.32,16498.52,55371.36,90100.95,204421.1,81671.64,14045.48,5741.68,80367.27,94,90.85,0,22,0.33,21,0.33,0.33,0.33,14,0.33,,,,,,,,,,,,,,,,,,,,
S10.53.Gut,20174.22,156090.69,225631.36,34078.16,133548.19,114288.91,18572.22,223009.6,61994.46,13953.64,260562.46,69032.28,123050.64,95834.73,715.04,45433.26,60259.49,23062.31,9133.41,12608.47,11950.96,16582.99,11513.47,12011.73,453.39,6038.79,163,1.33,117832.79,12402.32,9577.74,146020.33,37.31,37.31,214017.09,303664.45,196320.72,67150.28,15545.2,12664.52,2702.65,22295.08,116208.38,328149.36,34007.64,146186.12,68330.38,194184.92,23313.12,6634.56,1.33,31054.56,970.97,46619,43238.56,10108.75,268581.1,53013.71,9343.23,214279.4,10389.7,328.67,35502.08,5401.89,39.01,350,31224.17,90770.2,15607.95,11038.24,8357.75,1249.92,37.31,9044.58,17241.85,12099.96,63277.32,25135.87,132550.99,8301.85,2131.53,37.31,401.9,8357.75,43882.45,911029.25,111288.17,1480.86,54590.07,74617.48,46725.69,58186.47,20865.85,138719.68,40820.67,109225.66,21285.59,55680.28,9647.65,578.05,542.69,11610.8,33453.12,304974.08,60555.96,59,37.31,119597.21,39124.47,143987.09,29588.63,164627,22,82424.99,118193.05,12166.4,18635.38,169964.76,211518.67,33744.53,712038.46,407.9,20033.36,162902.44,92560.41,31335.62,16618.97,31728.72,71095.39,85421.58,6785.51,2051.27,90836.99,172198.62,133466.1,234,178078.65,95363.74,18859.91,152716.15,209181.01,279870.46,35572.46,8357.75,8771.75,723.92,278653.16,1.33,48830.21,1.33,12552.6,36873.27,34086.14,234508.29,159923.16,1.33,0,590231.96,117623.93,122841.41,6636.25,71940.39,113920.62,31853.72,462051.65,5341.17,20,188253.29,260180.91,8577.41,14720.56,166198.68,509.67,100157.84,20516.92,32414.45,103.33,24473.31,93299.33,5484.35,445706.32,9170.89,302,23624.5,63836.89,125711.43,406282.94,114249.28,21229.67,12909.51,106706.84,28,53.15,2,30,2.67,3,2.67,2.67,2.67,3,2.67,,,,,,,,,,,,,,,,,,,,
