timepoint,pond,ID,ko05340,ko00564,ko00680,ko00562,ko03030,ko00561,ko00440,ko00250,ko04062,ko00740,ko04940,ko00010,ko00195,ko03450,ko00760,ko00920,ko00311,ko00310,ko04146,ko00600,ko04141,ko04142,ko00604,ko04260,ko05142,ko04973,ko00510,ko05110,ko04974,ko04976,ko00450,ko01051,ko00565,ko00524,ko00300,ko05222,ko05416,ko00260,ko00190,ko03440,ko00750,ko00950,ko05140,ko00592,ko00591,ko00590,ko00062,ko00061,ko03070,ko00253,ko03060,ko04370,ko00380,ko00500,ko05120,ko04666,ko04964,ko04960,ko00625,ko00624,ko00627,ko00626,ko00621,ko00620,ko00623,ko00622,ko00270,ko00940,ko00941,ko01053,ko00943,ko00100,ko00945,ko05016,ko00071,ko00072,ko05219,ko05215,ko05211,ko05210,ko01055,ko00902,ko04910,ko00531,ko04916,ko00360,ko00633,ko00630,ko00363,ko00364,ko05130,ko04115,ko00121,ko04914,ko00430,ko02010,ko00130,ko04330,ko03050,ko00361,ko00040,ko00730,ko00362,ko01040,ko00603,ko03018,ko00281,ko00280,ko03013,ko04626,ko05200,ko00312,ko05020,ko05143,ko00523,ko00520,ko00521,ko05146,ko05145,ko00052,ko00053,ko00051,ko00401,ko00400,ko04020,ko00350,ko00480,ko00643,ko00642,ko00640,ko00720,ko00960,ko02020,ko00120,ko00965,ko03008,ko00290,ko04614,ko03410,ko05010,ko05012,ko00980,ko00410,ko00983,ko05150,ko00791,ko00790,ko05131,ko00020,ko00710,ko00196,ko02060,ko00340,ko00785,ko00550,ko00650,ko05220,ko02030,ko03320,ko04612,ko04621,ko04622,ko00910,ko04971,ko00460,ko04970,ko00830,ko00780,ko00511,ko00970,ko00030,ko04972,ko00232,ko00230,ko04122,ko00540,ko05014,ko00660,ko03020,ko00982,ko03010,ko00140,ko05100,ko00860,ko05410,ko00330,ko00908,ko04930,ko03430,ko00906,ko00900,ko00901,ko04520,ko00903,ko00471,ko00472,ko00473,ko05111,ko04810,ko04210,ko00240,ko04011,ko00944,ko04113,ko04070,ko04640,ko04310,ko03420,ko00770,ko02040,ko04912,ko00670,ko04920,ko04144,ko00930,ko04112,ko04540,ko05322,ko04145,ko04740,ko05214,ko04114,ko04745,ko04012,ko04720,ko04722,ko00513,ko03040,ko01056,ko00909,ko00514,ko00533,ko00601,ko05414,ko04380
1,S8,126,6073.5,64366.77,108494.35,17731.16,80175.45,35559.13,5673.83,100291.1,0.0,24319.98,5744.33,102690.76,48449.95,1092.5,54174.62,44930.79,3584.83,39247.65,33920.82,3672.16,7977.49,3366.33,1663.5,9761.99,447.0,131.5,4150.83,184.5,1585.0,0.0,52693.96,8663.66,146.5,3354.33,76537.12,7916.83,7916.83,99943.25,210712.46,107223.42,25079.82,6505.66,0.0,3741.83,2669.83,12804.83,0.0,71488.78,104414.88,19851.32,79240.11,0.0,55295.31,49508.6,5617.66,29.0,6349.5,0.0,18397.64,5745.33,29826.98,14782.33,3398.5,132932.9,28046.15,637.0,89796.58,8531.33,279.83,1168.5,11.0,2667.31,1013.33,24309.65,57177.14,27063.0,1114.83,4676.33,2239.83,7916.83,6337.33,29.0,10531.32,1707.5,12.0,44576.8,11073.99,113804.26,3872.16,8656.0,0.0,7916.83,1305.0,4676.33,15852.32,331730.52,39112.96,0.0,99.0,17874.0,39685.14,34198.97,55239.83,30748.82,2767.5,66225.61,25004.33,99646.97,6917.16,20128.48,14832.99,2.0,776.0,549.0,21501.65,105118.41,33699.47,965.33,7916.83,26143.47,18239.66,42153.97,19058.82,101316.27,5.0,43851.64,58026.94,12641.16,4215.33,97545.8,130289.6,17117.99,199036.75,1424.0,42.0,9837.99,93988.94,151.0,53980.14,23497.65,17678.82,15836.15,35913.15,20523.65,0.0,3965.99,45685.46,0.0,109125.76,67117.78,1632.0,10478.0,66831.78,11363.66,84709.94,107660.97,0.0,40168.58,27805.66,4676.33,4676.33,50.0,79110.7,0.0,29586.98,0.0,2691.83,21889.65,5835.0,135458.58,74663.08,0.0,31.0,261502.79,43221.29,81159.27,9924.83,36941.98,63809.28,16259.98,281455.16,1069.16,0.0,99967.89,10.0,108253.38,5514.83,5595.66,86824.11,5602.0,66302.96,1.0,0.0,11980.66,17705.99,1183.33,11887.99,7571.14,0.0,9818.49,202528.2,7348.33,44.0,2328.16,15318.82,29.0,0.0,43687.31,80529.45,67017.04,29.0,63988.46,11548.33,29.0,10403.0,61986.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S8,127,7796.58,89529.66,160055.28,25823.92,110647.68,52317.48,7806.99,144411.33,12.0,35140.09,9543.75,152023.85,82410.5,2177.5,76818.09,66433.11,3765.0,51607.08,45303.18,8702.33,13198.42,6620.0,1992.0,11448.43,1069.5,662.66,6375.0,155.75,2747.17,0.67,76076.85,11882.42,803.5,5910.58,103268.42,9579.94,9563.44,138158.59,289350.81,148971.68,33461.09,10129.33,16.5,5862.09,4384.83,14111.25,0.0,101988.17,139490.13,26441.5,110378.5,16.5,72671.91,82624.57,8099.18,172.0,7600.34,0.67,28312.98,5741.5,35938.41,19384.33,5260.17,184179.25,34343.09,2464.25,136160.24,12185.41,1649.33,2691.25,0.0,7502.83,2243.5,31280.37,75429.42,29145.08,998.0,6372.25,4301.25,9563.44,8803.42,166.5,15540.0,2680.0,0.0,57171.18,13866.68,139401.48,6701.58,9027.67,12.0,9563.44,1207.0,6372.25,20273.09,411474.47,61888.69,0.0,916.5,15956.08,52017.56,53963.91,60895.52,42143.66,4264.33,95755.59,30169.11,122494.77,11430.33,26183.33,20253.44,32.0,1499.42,1174.5,30484.1,152450.44,50856.01,1208.58,9563.44,42562.97,22961.49,66643.63,25774.59,140147.92,72.0,53246.16,75652.03,14570.34,6950.84,128040.2,179999.7,23250.5,307172.16,1785.5,160.0,12736.59,123286.03,230.5,74664.42,30326.45,21011.2,19510.08,48041.1,31527.82,65.33,5060.76,64824.75,12.0,149782.16,98302.59,5700.0,14030.04,92899.65,16419.33,118093.74,131821.09,0.0,80509.64,33843.01,6372.25,6372.25,153.5,131492.87,0.67,35593.32,0.67,5310.24,31377.93,10171.33,185313.74,105636.82,0.67,139.0,365938.01,66684.86,103127.73,13365.69,48424.51,94551.42,20955.41,388905.83,3115.0,12.0,155959.08,0.0,162095.16,7677.75,7978.25,121881.01,8449.24,91398.5,10.0,12.0,19005.74,24377.92,2264.67,17349.0,15240.69,12.0,11996.19,283140.48,7884.5,528.0,5410.09,23017.59,155.5,0.0,61614.25,105739.84,106607.93,160.0,86955.76,14663.17,160.0,13151.67,88896.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,S8,128,7358.46,91213.27,158115.18,26196.54,109971.2,50663.96,7552.93,138930.09,0.0,36512.89,8100.46,149958.32,59740.59,1776.0,70152.76,62336.58,4033.0,45382.13,44736.84,9972.82,11368.52,5519.66,2390.0,14304.44,694.33,625.67,6220.37,79.25,1788.0,32.67,67989.44,10096.9,945.88,6171.67,106370.07,10841.11,10818.11,132901.27,285019.01,145929.42,33937.45,9447.02,23.0,4997.76,3672.43,15299.13,14.0,94960.8,142946.71,25786.2,111065.5,23.0,68122.35,80640.7,9752.11,201.0,6435.84,9.67,28133.18,6482.0,40126.07,17095.86,6096.6,178024.56,37612.1,2743.01,124031.44,9980.59,733.0,3033.92,0.0,4427.18,2263.67,35137.48,72044.96,28741.69,460.17,6536.3,2837.92,10818.11,8544.13,201.0,14037.61,2947.0,19.0,55111.33,11388.85,144261.12,6920.35,10800.33,0.0,10818.11,2325.0,6536.3,20071.86,426886.76,54162.82,3.33,696.0,21177.41,52813.79,54820.68,64462.65,39302.3,4218.0,91902.93,27490.28,114834.49,9613.43,25662.35,20218.66,163.0,1868.92,696.0,30049.41,152785.03,49140.23,1318.8,10818.11,44632.7,25559.54,66963.94,27557.16,139956.68,14.0,52522.77,75499.06,16642.56,5470.56,127647.82,175684.19,24199.86,298818.36,2814.0,220.0,12782.48,122430.76,272.33,75270.65,33255.73,25183.88,19241.48,47521.23,28318.27,429.0,7423.27,62065.38,0.0,150915.08,90917.89,278.0,25124.81,89869.71,14684.38,119088.48,134045.55,3.33,71140.55,32621.9,6536.3,6546.3,257.0,110034.23,9.67,37673.49,9.67,5095.46,31459.12,10032.32,184496.52,106044.1,9.67,232.0,364685.02,62975.54,109595.56,16118.53,46804.71,91037.63,20098.03,384687.2,4091.66,16.38,141924.98,40.33,152710.13,7804.8,7740.35,118856.69,5415.58,88909.99,0.0,0.0,17337.18,23170.08,1810.34,16472.99,10801.36,0.0,13622.2,278155.59,9144.77,62.0,3869.09,21733.36,201.0,3.33,58340.2,107806.0,93989.63,201.0,87163.98,14275.18,201.0,14929.16,88403.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,S14,129,8701.42,121083.63,191045.82,30691.34,153576.79,67642.94,7514.92,201467.75,27.0,46291.68,11474.01,204342.93,102114.36,2927.0,109329.96,71341.28,7917.92,75509.27,60882.26,16222.02,18626.84,13941.51,6264.0,11486.5,1446.67,1405.0,8647.18,335.5,6046.17,0.0,100955.47,16254.17,621.5,12319.76,142211.38,12408.5,12406.0,205980.26,370474.65,202700.3,52874.02,13733.26,2.5,8501.92,6564.25,23157.51,21.0,133446.75,190102.56,37782.18,147927.05,2.5,100979.94,119003.23,8135.42,41.0,11800.17,0.0,33510.52,8716.42,53869.52,29266.93,5995.67,232439.42,46171.85,1602.67,168139.65,14255.25,376.17,6180.5,305.0,2519.01,1682.0,38564.42,108843.78,40081.92,1549.5,6809.67,7630.67,12406.0,14377.34,49.5,19951.17,7315.5,0.0,71165.28,15339.75,175355.05,10804.25,13290.84,122.0,12406.0,260.75,6809.67,34296.93,561286.4,82876.7,16.67,472.5,20037.76,77824.79,61637.94,90318.02,57422.12,8780.0,124615.56,42800.09,183454.37,13050.09,34198.18,26865.51,117.5,2202.0,1492.0,45637.6,225470.44,75169.45,2365.0,12406.0,68967.63,36010.27,97991.05,36115.85,197915.24,243.5,75922.04,102432.11,19603.0,8636.09,184837.47,256543.9,34207.68,343895.97,907.0,162.0,15317.42,169760.9,113.17,98883.87,35998.17,23989.5,27099.59,64418.19,47828.43,268.0,9741.75,90432.7,27.0,193357.25,126697.96,6521.0,19819.18,132918.12,23752.18,160380.02,172513.46,16.67,80343.23,44285.01,6809.67,6809.67,17.5,142304.06,0.0,51797.01,0.0,8382.59,34801.1,21491.18,258373.17,148233.48,0.0,114.0,496563.17,72045.79,135020.65,17049.75,66766.69,140401.5,28603.59,539235.51,7120.93,400.0,187471.89,75.67,231690.42,10250.67,11111.17,173677.22,13834.34,124866.37,115.0,27.0,24746.43,35979.67,1788.5,23441.17,17936.34,27.0,13174.0,392091.62,9886.0,212.5,6115.34,28328.01,11.5,16.67,90567.29,147425.56,151279.24,14.0,118234.45,21179.25,14.0,16446.43,118509.95,95.0,88.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S14,130,4951.16,56734.02,93510.77,15153.31,71580.19,31677.26,3515.99,95949.42,0.0,21865.12,6868.31,106974.9,40924.42,1469.0,49148.54,40799.07,1991.66,41313.93,30287.45,11770.46,8089.98,7317.98,1418.5,5043.82,620.16,486.83,6017.14,54.5,1653.99,3.33,51428.86,7084.82,639.5,5900.48,68056.02,4662.81,4661.81,99192.91,172516.55,92661.99,21135.94,8067.31,1.0,5063.15,4158.0,10608.14,0.0,76154.61,90225.28,16635.96,69138.68,1.0,54684.42,60230.85,4474.98,14.0,5481.65,3.33,20146.28,4766.16,29395.28,16568.79,3479.15,122887.05,22153.45,1610.99,81874.79,7889.33,421.66,1906.33,0.0,3547.48,1837.5,17089.12,60031.72,21960.31,933.0,3119.49,3598.49,4661.81,6303.15,110.0,8490.32,2240.0,0.0,39844.06,6899.82,87100.14,7829.5,6424.15,0.0,4661.81,1018.0,3119.49,14037.29,272786.56,39918.88,29.66,1758.0,10436.31,41350.74,33509.59,47957.74,34698.91,3433.5,61759.83,24179.62,91800.84,6333.65,16010.29,11410.45,60.5,1452.33,722.5,20674.78,107569.04,36273.24,898.5,4661.81,33343.89,17656.62,50173.04,17422.62,92804.78,21.5,39801.39,46635.06,9127.16,6271.47,91924.3,117665.59,17308.13,180182.53,1844.5,134.0,7015.65,79574.3,113.66,49923.89,15486.12,9702.3,12699.48,35479.08,21751.96,20.0,4720.99,41352.73,0.0,98132.09,60140.03,850.0,9716.96,59595.22,11209.8,66782.73,90072.32,29.66,40265.57,24132.79,3119.49,3119.49,1.0,69597.72,3.33,22691.14,3.33,5084.32,19994.95,9981.64,116880.41,72872.99,3.33,283.0,240572.46,40127.21,60370.97,7186.14,30560.76,71674.45,13463.98,249672.63,5542.14,8.0,87045.6,31.66,113929.73,4771.49,4703.49,78328.16,7603.15,61223.38,25.0,0.0,17414.63,13877.81,1131.33,9671.15,7709.62,0.0,5180.81,180276.95,4096.16,66.5,3143.48,14479.3,1.0,29.66,43519.56,69023.83,66371.4,14.0,57176.89,10494.99,14.0,11307.8,54756.38,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3,S14,131,19804.96,185243.43,317250.68,48990.51,244957.0,110671.41,19532.36,317282.26,58.0,72007.32,18481.3,352808.01,151698.37,6476.83,151481.38,135053.87,8970.14,145865.23,113206.76,26847.33,26142.23,16524.54,4491.57,18497.85,5650.06,4013.14,16309.22,328.08,7388.33,19.34,169293.06,25170.31,1528.32,13898.13,219774.16,19220.88,19180.88,334131.15,587461.0,319288.91,74449.94,25514.52,40.0,21277.8,13518.4,33895.61,11.0,228580.49,302767.6,55033.6,227959.96,40.0,205317.01,186217.63,16711.83,213.0,17918.32,19.34,69160.19,21421.3,113430.59,59798.36,15008.73,411576.73,77133.03,9251.73,290922.3,34419.64,2188.99,12901.25,38.5,7551.14,8366.17,67718.7,222448.14,85256.59,2776.4,13005.15,12662.23,19180.88,22390.89,534.0,26955.39,7432.07,5.0,149010.81,29026.69,303142.53,25201.57,22939.56,60.0,19180.88,1933.83,13005.15,49096.34,995578.22,137444.88,103.99,3312.0,37161.8,118253.67,102226.74,182202.73,99928.36,8403.64,204351.23,89562.54,346693.08,25169.05,54628.88,44992.25,785.4,8023.24,5494.4,71140.92,336141.13,109834.31,5559.42,19180.88,101441.81,60200.43,155582.63,56660.31,307797.39,244.67,150421.57,166082.68,41954.64,24722.98,332956.13,410992.29,56631.38,587974.4,4318.33,638.0,24523.97,268532.54,355.99,163223.35,61786.95,37948.39,52396.91,129105.05,74925.66,234.5,19672.43,136787.32,58.0,322759.76,204344.16,7735.05,23954.42,213047.34,33378.69,244715.0,327601.1,103.99,138953.75,79755.47,13005.15,13021.15,191.0,250641.38,24.34,89200.79,19.34,17668.37,64518.4,24860.77,378542.71,229467.1,19.34,579.0,796187.62,114674.93,195146.35,32391.94,100623.91,222892.13,56537.16,817550.93,14179.46,954.25,315360.95,240.99,399957.47,15706.65,16155.14,266767.25,24387.59,197375.43,144.0,58.0,65691.44,52443.46,3522.67,36889.62,26252.87,58.0,23771.7,619008.36,13871.07,181.5,11940.07,44527.7,115.0,108.99,136205.16,226054.23,204885.1,160.0,192412.48,35794.82,155.0,35523.0,181488.93,2.0,548.67,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S18,133,4325.26,45389.25,79433.21,14583.68,52588.07,27815.74,3437.25,70989.32,0.0,17470.33,4789.0,77832.32,29190.69,2310.5,37402.42,32585.22,1831.42,34615.08,25425.58,6288.5,6049.17,2880.0,940.0,6125.83,423.5,333.67,2759.0,213.17,1147.83,6.33,37119.91,5501.83,804.5,3774.92,51559.81,4875.31,4843.81,71997.49,136760.18,69692.41,16068.17,5707.92,31.5,4476.91,3053.59,8305.33,0.0,49353.84,75371.18,11061.5,52002.0,31.5,48767.93,39442.83,4221.57,190.0,3598.66,6.33,18773.5,6638.75,29760.34,16835.25,4433.66,94783.82,18832.5,2737.0,64690.37,5277.92,836.5,3044.33,0.0,3044.0,2944.5,15947.56,57751.58,19869.25,872.67,2749.0,2298.0,4843.81,4300.5,290.5,6688.16,1172.0,0.0,36382.91,8370.07,77600.28,7295.09,6286.5,0.0,4843.81,709.42,2749.0,10591.58,235126.73,29294.81,13.0,1288.5,10066.75,29568.58,25511.41,46359.3,23402.42,2196.0,43635.83,25039.41,79855.47,4488.25,12898.0,9935.31,0.67,1103.5,497.17,14965.41,71563.29,26440.08,874.0,4843.81,22922.24,15510.25,33165.16,13250.83,67391.33,0.0,34060.0,41264.9,9531.01,5951.24,76938.89,90931.81,13506.84,156654.69,1503.67,259.0,6271.58,61368.29,227.5,39818.5,15106.14,10963.31,13940.25,33703.98,14483.44,31.0,4508.74,29902.66,0.0,73678.0,44112.57,156.0,6841.99,48178.43,6926.0,55782.83,79573.58,13.0,34957.72,21611.83,2749.0,2749.0,158.5,63521.72,6.33,19242.18,6.33,5204.92,13604.25,5922.0,86783.59,53052.08,6.33,127.0,179976.49,31527.72,44374.75,7939.06,24530.98,47694.9,15216.25,181186.66,4064.75,0.0,74631.09,13.0,86864.99,3411.0,3544.0,57709.16,4735.83,47877.15,0.0,0.0,17892.58,11360.33,1234.0,8013.5,6320.99,0.0,5580.81,132803.33,4283.83,98.0,3142.51,10814.16,158.5,13.0,31364.58,52442.14,50685.0,190.0,41251.07,8557.25,190.0,11603.08,40998.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,S18,134,2905.6,28366.91,54303.43,9346.12,37458.39,20127.17,3179.27,55231.4,0.0,12512.71,3745.35,56807.13,74104.77,624.5,32721.62,24043.38,2400.59,14895.83,15543.97,2170.94,6285.02,1834.01,661.0,3123.01,404.67,1400.85,4423.18,89.92,887.67,0.0,30016.93,3723.51,287.25,2751.1,36886.21,2770.5,2770.5,49654.55,111045.57,51222.85,13043.89,4491.94,0.0,1356.26,1166.76,6567.27,0.0,36624.45,44564.06,10231.54,39329.99,0.0,24255.86,39760.87,3053.92,19.0,3704.01,0.0,10510.65,3092.42,15289.56,7207.8,2148.68,69237.96,13855.21,1618.01,58642.35,3852.6,158.34,1797.67,0.0,1074.68,1347.0,9560.44,24466.38,9992.29,187.67,2586.01,1796.76,2770.5,3044.51,35.0,8767.01,801.0,24.0,21014.02,4051.0,50248.12,2506.76,4645.51,0.0,2770.5,704.92,2586.01,9504.87,196946.94,30708.76,2.67,105.0,8241.52,18578.42,21718.25,21310.49,17468.33,1100.67,38351.4,8848.79,40952.16,6249.1,8692.8,7155.94,31.67,543.67,383.67,13166.95,66217.45,21222.49,1279.17,2770.5,17459.85,9185.21,26313.8,8590.7,51975.38,881.0,22890.19,34363.92,6154.1,1802.44,43373.43,63153.48,7941.29,104129.56,895.42,59.0,4727.93,47069.46,44.67,26578.19,9221.69,5893.51,10743.94,17932.9,9888.91,143.17,4234.75,23603.35,0.0,50258.91,39609.04,13122.0,4221.74,33136.48,7210.03,46228.57,47662.47,2.67,20641.75,12702.21,2586.01,2586.01,55.25,44641.73,0.0,17294.55,0.0,2168.77,11011.37,3982.85,67379.52,42636.09,0.0,79.5,136582.55,24968.07,30991.13,4023.34,17479.38,32496.83,11890.61,139380.79,807.43,941.5,80521.39,25.67,72045.36,2685.51,3654.01,44496.92,8261.02,32109.28,0.0,0.0,7123.29,10053.53,282.17,6427.69,5042.79,0.0,3854.0,103450.09,3337.51,102.0,4497.19,8749.19,19.0,2.67,21340.09,39545.71,15712.55,19.0,31439.68,4665.85,19.0,4718.27,31636.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,S24,135,13354.0,151360.48,249499.65,38208.09,207174.8,92054.12,15591.42,264831.9,8.0,60607.27,15800.42,284449.49,116621.05,3335.5,124901.88,110980.71,5012.92,96956.85,80827.93,20650.34,20254.76,14683.17,4384.5,12231.26,4698.0,829.5,12374.67,190.25,6674.5,0.0,139054.79,21399.09,1034.5,9501.17,187777.63,13413.42,13376.92,263515.0,457945.29,273884.83,62355.43,20748.09,36.5,13700.67,8336.92,23279.42,0.0,189549.72,229452.87,49973.18,198507.89,36.5,137726.19,146482.4,16919.59,254.0,15866.0,0.0,43768.86,9240.42,66619.77,30239.92,6719.0,324320.35,57442.1,3701.25,237265.42,24020.17,1222.17,8130.75,0.0,6677.69,3328.67,45606.1,128242.36,54847.0,1734.17,12424.42,5160.42,13376.92,19458.92,302.5,22683.18,5030.5,0.0,101321.45,13926.26,219743.49,8996.84,13642.5,8.0,13376.92,1991.75,12424.42,33942.18,592929.48,106750.04,322.0,1270.5,25590.0,95960.86,86260.03,103728.17,69484.93,8516.5,174902.14,47308.67,242174.78,22240.09,44464.02,31320.26,8.0,1566.25,4433.0,59885.85,274364.09,89854.78,1790.92,13376.92,76957.28,44666.59,124575.53,45564.43,260632.48,21.5,102727.36,107413.81,31055.34,15848.42,239673.45,330176.9,41936.51,401772.0,2826.0,266.0,19725.51,215407.56,562.5,139404.11,47581.6,25608.18,23545.85,83202.6,65438.1,14.0,7562.01,120960.79,8.0,279428.74,175980.72,2179.0,22308.75,175443.47,30973.34,207797.31,227179.03,322.0,88100.67,52016.34,12424.42,12424.42,219.5,183163.05,0.0,66670.52,0.0,8571.67,51217.35,20663.0,337750.42,193142.17,0.0,181.0,649856.21,87204.96,181278.98,18504.42,77394.52,194021.22,24815.52,725435.84,8174.09,16.0,238452.61,345.0,306889.62,13917.42,14040.09,220625.89,17918.75,160524.54,0.0,8.0,38289.34,44674.26,2069.67,29364.51,18058.86,8.0,19004.51,531042.3,11474.67,0.0,6242.59,34993.43,217.5,322.0,116826.69,187971.55,144822.21,246.0,165780.54,22495.92,246.0,21627.25,153811.3,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S24,136,5151.58,63182.02,117928.13,16043.39,77497.06,35314.99,5318.48,98826.52,0.0,25100.32,7315.87,103365.87,47506.65,1311.5,51616.32,47765.18,2825.65,36768.3,31337.43,5670.74,9082.54,3782.12,1203.0,9474.56,794.82,544.17,4492.94,117.42,1651.15,3.33,53142.7,8218.22,438.5,4559.54,72013.28,7043.22,7026.72,96078.7,204837.25,104460.3,22853.98,7967.95,16.5,4292.89,2883.5,10243.2,16.0,71036.4,105553.45,18612.42,76641.02,16.5,51889.29,57898.11,5510.96,122.0,4519.48,3.33,19709.7,4802.98,26885.97,13439.94,3704.48,126084.19,23229.65,1469.57,97508.93,8394.58,1086.48,2065.58,0.0,6423.08,1991.66,23545.93,52873.74,20403.07,600.33,4460.23,3424.73,7026.72,6297.55,118.5,9816.12,1460.0,0.0,42058.14,9787.8,97466.35,5267.41,6042.64,0.0,7026.72,545.17,4460.23,13138.5,266454.67,44002.43,28.32,439.5,9807.21,37234.7,37601.09,41609.38,26975.83,2172.0,68125.56,21201.21,83546.18,7370.96,18409.74,14956.5,22.67,1145.25,842.17,21785.81,102596.85,36071.47,929.41,7026.72,28715.91,16179.24,45541.4,19412.82,98041.16,0.0,37747.12,55074.09,10180.33,5102.29,88167.36,124563.91,17186.1,227814.56,903.67,102.0,8763.38,85214.57,141.82,52087.05,22948.01,16497.95,13770.69,33506.77,21237.27,9.0,3511.22,46578.53,0.0,102336.02,68434.29,312.0,7983.52,66355.26,10500.1,80374.88,88467.18,28.32,61243.71,21820.61,4460.23,4460.23,94.5,97390.13,3.33,23947.6,3.33,3504.72,22246.15,6210.78,126535.57,73628.07,3.33,78.0,256602.89,48689.39,73866.44,10113.47,35914.18,67754.46,15228.85,267781.44,2787.1,19.0,100261.31,28.32,115033.57,5067.73,5185.39,84103.5,5515.72,62981.59,0.0,0.0,13773.18,16516.88,2042.66,12169.3,10723.41,0.0,8836.79,197043.25,5395.49,0.0,4097.22,15687.51,94.5,28.32,42287.54,73523.8,94794.37,122.0,60019.19,9817.66,122.0,8593.61,61826.09,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,S24,137,7229.85,79500.38,135963.87,23683.69,93596.55,41089.87,6605.19,120158.6,4.0,29193.67,6872.17,123926.36,52717.17,1612.0,64061.35,52941.94,4317.33,46831.56,42311.2,4207.16,8324.33,2341.66,873.5,13964.49,694.0,571.86,5096.66,405.17,939.5,0.0,60275.98,8676.83,523.5,3316.17,90670.87,10694.16,10692.66,117218.02,249568.43,124196.37,29622.69,7452.84,1.5,4689.17,3056.34,15756.51,0.0,82994.73,128500.48,22670.68,95081.88,1.5,70287.08,53089.96,7875.82,138.0,6657.01,0.0,27804.86,8035.16,41319.52,19557.05,4999.85,160974.95,33785.67,1906.01,103932.53,7348.52,513.0,2606.34,0.0,4766.46,1767.66,32917.99,73203.93,33159.89,853.83,5568.17,2447.17,10692.66,6649.33,142.5,12038.82,1071.5,6.5,56291.04,13251.98,147188.12,6138.5,10959.17,4.0,10692.66,2907.17,5568.17,19599.84,429222.5,47125.51,4.0,496.5,24038.35,39746.53,44126.37,71939.58,38129.54,1514.84,76926.52,31736.2,122606.63,7344.67,22187.85,18713.5,50.67,1434.67,755.67,24857.32,120334.47,37691.83,1333.0,10692.66,27643.54,24854.86,48091.42,23851.83,119815.25,35.0,54855.55,71861.63,18296.17,5632.02,122578.62,154257.94,21521.85,250859.21,3378.17,147.5,11735.16,109675.81,174.5,63882.55,31941.66,24657.15,21048.66,47225.7,21329.89,183.34,5727.98,53255.69,4.0,133000.93,75138.85,779.0,16666.95,78825.56,12506.68,99743.92,137841.37,4.0,43783.51,32865.2,5568.17,5568.17,152.5,99225.86,0.0,35448.52,0.0,4386.85,25582.99,3552.34,158764.77,82403.0,0.0,135.0,309107.15,56105.96,95701.27,14520.17,42778.0,66269.02,21590.66,325008.87,2567.32,54.0,124547.57,4.0,125621.22,6234.67,6475.33,99901.06,5342.86,76508.71,0.0,4.0,17372.2,20216.52,1048.33,13281.51,7396.99,4.0,13991.98,236625.7,9568.51,17.0,3194.67,18864.66,136.5,4.0,48790.53,96927.01,60417.08,134.0,75730.85,13687.85,134.0,16733.51,73018.19,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
